ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756091454350000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454400000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454450000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454500000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454550000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454600000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454650000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454700000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454750000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454800000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454850000000,113269.47,113528.39,0.12002,1e-05,113398.93,258.92,113528.368429
1756091454900000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091454950000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455000000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455050000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455100000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455150000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455200000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455250000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455300000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455350000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455400000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455450000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455500000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455550000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455600000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455650000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455700000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455750000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455800000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455850000000,113269.47,113528.39,0.1001,1e-05,113398.93,258.92,113528.364136
1756091455900000000,113269.48,113528.39,0.04,1e-05,113398.935,258.91,113528.325289
1756091455950000000,113269.48,113528.39,0.04,1e-05,113398.935,258.91,113528.325289
1756091456000000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456050000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456100000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456150000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456200000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456250000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456300000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456350000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456400000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456450000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456500000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456550000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456600000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456650000000,113269.49,113528.39,0.12002,1e-05,113398.94,258.9,113528.36843
1756091456700000000,113269.51,113528.39,0.02267,1e-05,113398.95,258.88,113528.275855
1756091456750000000,113269.51,113528.39,0.02267,1e-05,113398.95,258.88,113528.275855
1756091456800000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091456850000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091456900000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091456950000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457000000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457050000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457100000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457150000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457200000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457250000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457300000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457350000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457400000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457450000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457500000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457550000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457600000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457650000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457700000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457750000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457800000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457850000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457900000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091457950000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091458000000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091458050000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091458100000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091458150000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091458200000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
1756091458250000000,113269.52,113528.39,0.12002,1e-05,113398.955,258.87,113528.368433
